a,p,ns1Time,time,activity,patient,source,perspective
http://cltl.nl/leolani/n2mu/worry0.30919834190619155,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.952859,worry,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/worry0.30919834190619155,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.952859,worry,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/worry0.30919834190619155,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.952859,worry,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/worry0.30919834190619155,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.952859,worry,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/sentiment#NEGATIVE
http://cltl.nl/leolani/n2mu/worry0.30919834190619155,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.952859,worry,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/emotion#FEAR
http://cltl.nl/leolani/n2mu/cravings0.5225269719916388,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.995216,cravings,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/emotion#CURIOSITY
http://cltl.nl/leolani/n2mu/cravings0.5225269719916388,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.995216,cravings,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/cravings0.5225269719916388,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.995216,cravings,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/cravings0.5225269719916388,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.995216,cravings,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/cravings0.5225269719916388,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-12T00:00:00,2010-06-12 08:35:36.995216,cravings,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/baking_cookies_with_my_grandchildren0.58359518690062,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-02-01T00:00:00,2012-03-01 08:35:37.235070,baking cookies with my grandchildren,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/baking_cookies_with_my_grandchildren0.58359518690062,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-02-01T00:00:00,2012-03-01 08:35:37.235070,baking cookies with my grandchildren,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/baking_cookies_with_my_grandchildren0.58359518690062,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-02-01T00:00:00,2012-03-01 08:35:37.235070,baking cookies with my grandchildren,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/baking_cookies_with_my_grandchildren0.58359518690062,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-02-01T00:00:00,2012-03-01 08:35:37.235070,baking cookies with my grandchildren,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/baking_cookies_with_my_grandchildren0.58359518690062,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-02-01T00:00:00,2012-03-01 08:35:37.235070,baking cookies with my grandchildren,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/emotion#JOY
http://cltl.nl/leolani/n2mu/baking_cookies_with_grandchildren0.005090481650089185,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-02-01T00:00:00,2012-03-01 08:35:37.276018,baking cookies with grandchildren,,http://cltl.nl/leolani/friends/Aicha,http://groundedannotationframework.org/grasp/factuality#POSITIVE
