a,p,ns1Time,time,activity,patient,source,perspective
http://cltl.nl/leolani/n2mu/monitor_my_blood_sugar_levels0.21122288554548896,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2013-07-20T00:00:00,2013-08-20 08:35:52.629478,monitor my blood sugar levels,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#CURIOSITY
http://cltl.nl/leolani/n2mu/monitor_my_blood_sugar_levels0.21122288554548896,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2013-07-20T00:00:00,2013-08-20 08:35:52.629478,monitor my blood sugar levels,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/monitor_my_blood_sugar_levels0.21122288554548896,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2013-07-20T00:00:00,2013-08-20 08:35:52.629478,monitor my blood sugar levels,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/monitor_my_blood_sugar_levels0.21122288554548896,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2013-07-20T00:00:00,2013-08-20 08:35:52.629478,monitor my blood sugar levels,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/monitor_my_blood_sugar_levels0.21122288554548896,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2013-07-20T00:00:00,2013-08-20 08:35:52.629478,monitor my blood sugar levels,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/eat_foods0.5671093785203689,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:52.714902,eat foods,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#CURIOSITY
http://cltl.nl/leolani/n2mu/eat_foods0.5671093785203689,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:52.714902,eat foods,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/eat_foods0.5671093785203689,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:52.714902,eat foods,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/eat_foods0.5671093785203689,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:52.714902,eat foods,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/eat_foods0.5671093785203689,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:52.714902,eat foods,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/eat_foods0.5671093785203689,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:52.714902,eat foods,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#APPROVAL
http://cltl.nl/leolani/n2mu/resist_traditional_Moroccan_sweets0.40664844243842047,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-08-23T00:00:00,2010-09-23 08:35:52.769832,resist traditional Moroccan sweets,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/resist_traditional_Moroccan_sweets0.40664844243842047,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-08-23T00:00:00,2010-09-23 08:35:52.769832,resist traditional Moroccan sweets,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/resist_traditional_Moroccan_sweets0.40664844243842047,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-08-23T00:00:00,2010-09-23 08:35:52.769832,resist traditional Moroccan sweets,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/resist_traditional_Moroccan_sweets0.40664844243842047,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-08-23T00:00:00,2010-09-23 08:35:52.769832,resist traditional Moroccan sweets,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#APPROVAL
http://cltl.nl/leolani/n2mu/resist_traditional_Moroccan_sweets0.40664844243842047,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-08-23T00:00:00,2010-09-23 08:35:52.769832,resist traditional Moroccan sweets,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#ALMOST_NOT
http://cltl.nl/leolani/n2mu/tingling_in_my_foot0.3888058832447562,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.813072,tingling in my foot,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#CURIOSITY
http://cltl.nl/leolani/n2mu/tingling_in_my_foot0.3888058832447562,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.813072,tingling in my foot,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/tingling_in_my_foot0.3888058832447562,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.813072,tingling in my foot,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/tingling_in_my_foot0.3888058832447562,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.813072,tingling in my foot,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/tingling_in_my_foot0.3888058832447562,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.813072,tingling in my foot,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/sentiment#NEGATIVE
http://cltl.nl/leolani/n2mu/tingling_in_my_foot0.3888058832447562,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.813072,tingling in my foot,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#CARING
http://cltl.nl/leolani/n2mu/walking0.3511760038253462,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.886274,walking,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/walking0.3511760038253462,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.886274,walking,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/walking0.3511760038253462,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.886274,walking,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/walking0.3511760038253462,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.886274,walking,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#CARING
http://cltl.nl/leolani/n2mu/walking0.3511760038253462,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-05-05T00:00:00,2010-06-05 08:35:52.886274,walking,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#PROBABLE
http://cltl.nl/leolani/n2mu/check_blood_sugar0.22632699890994612,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.937652,check blood sugar,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#CURIOSITY
http://cltl.nl/leolani/n2mu/check_blood_sugar0.22632699890994612,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.937652,check blood sugar,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/check_blood_sugar0.22632699890994612,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.937652,check blood sugar,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/check_blood_sugar0.22632699890994612,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.937652,check blood sugar,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/check_blood_sugar0.22632699890994612,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.937652,check blood sugar,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/have0.6980691969756757,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.974386,have,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/have0.6980691969756757,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.974386,have,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/have0.6980691969756757,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.974386,have,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/have0.6980691969756757,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.974386,have,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/have0.6980691969756757,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-08-08T00:00:00,2014-09-08 08:35:52.974386,have,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#GRATITUDE
http://cltl.nl/leolani/n2mu/heal0.23962610321251054,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-03-14T00:00:00,2014-04-14 08:35:52.999876,heal,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/heal0.23962610321251054,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-03-14T00:00:00,2014-04-14 08:35:52.999876,heal,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/heal0.23962610321251054,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-03-14T00:00:00,2014-04-14 08:35:52.999876,heal,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/heal0.23962610321251054,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-03-14T00:00:00,2014-04-14 08:35:52.999876,heal,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/heal0.23962610321251054,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-03-14T00:00:00,2014-04-14 08:35:52.999876,heal,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#APPROVAL
http://cltl.nl/leolani/n2mu/heal0.23962610321251054,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-03-14T00:00:00,2014-04-14 08:35:52.999876,heal,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#CARING
http://cltl.nl/leolani/n2mu/heal0.23962610321251054,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-03-14T00:00:00,2014-04-14 08:35:52.999876,heal,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#FEAR
http://cltl.nl/leolani/n2mu/heal0.23962610321251054,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2014-03-14T00:00:00,2014-04-14 08:35:52.999876,heal,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#NERVOUSNESS
http://cltl.nl/leolani/n2mu/miss_meals0.3677732277769481,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-07-10T00:00:00,2010-08-10 08:35:53.375876,miss meals,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/miss_meals0.3677732277769481,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-07-10T00:00:00,2010-08-10 08:35:53.375876,miss meals,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/miss_meals0.3677732277769481,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-07-10T00:00:00,2010-08-10 08:35:53.375876,miss meals,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/miss_meals0.3677732277769481,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-07-10T00:00:00,2010-08-10 08:35:53.375876,miss meals,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/sentiment#NEGATIVE
http://cltl.nl/leolani/n2mu/miss_meals0.3677732277769481,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-07-10T00:00:00,2010-08-10 08:35:53.375876,miss meals,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/emotion#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/skip_meals0.18876691904970377,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-07-10T00:00:00,2010-08-10 08:35:53.390146,skip meals,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/skip_meals0.18876691904970377,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-07-10T00:00:00,2010-08-10 08:35:53.390146,skip meals,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/skip_meals0.18876691904970377,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-07-10T00:00:00,2010-08-10 08:35:53.390146,skip meals,,http://cltl.nl/leolani/friends/Fatima,http://groundedannotationframework.org/grasp/level#SOMEWHAT
