a,p,ns1Time,time,activity,patient,source,perspective
http://cltl.nl/leolani/n2mu/drink0.6860323447826195,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-08-03T00:00:00,2011-09-03 08:35:34.779022,drink,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/emotion#CURIOSITY
http://cltl.nl/leolani/n2mu/drink0.6860323447826195,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-08-03T00:00:00,2011-09-03 08:35:34.779022,drink,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/drink0.6860323447826195,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-08-03T00:00:00,2011-09-03 08:35:34.779022,drink,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/drink0.6860323447826195,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-08-03T00:00:00,2011-09-03 08:35:34.779022,drink,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/drink0.6860323447826195,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-08-03T00:00:00,2011-09-03 08:35:34.779022,drink,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/tingling_sensation0.05931333155005469,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-04-30T00:00:00,2011-05-30 08:35:35.351578,tingling sensation,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/emotion#CURIOSITY
http://cltl.nl/leolani/n2mu/tingling_sensation0.05931333155005469,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-04-30T00:00:00,2011-05-30 08:35:35.351578,tingling sensation,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/tingling_sensation0.05931333155005469,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-04-30T00:00:00,2011-05-30 08:35:35.351578,tingling sensation,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/tingling_sensation0.05931333155005469,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-04-30T00:00:00,2011-05-30 08:35:35.351578,tingling sensation,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/tingling_sensation0.05931333155005469,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-04-30T00:00:00,2011-05-30 08:35:35.351578,tingling sensation,,http://cltl.nl/leolani/friends/Jan,http://groundedannotationframework.org/grasp/level#ALMOST_FULLY
