a,p,ns1Time,time,activity,patient,source,perspective
http://cltl.nl/leolani/n2mu/miss_these_activities0.07377729314118953,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-02-09T00:00:00,2011-03-09 08:35:39.272263,miss these activities,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/miss_these_activities0.07377729314118953,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-02-09T00:00:00,2011-03-09 08:35:39.272263,miss these activities,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/miss_these_activities0.07377729314118953,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-02-09T00:00:00,2011-03-09 08:35:39.272263,miss these activities,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/miss_these_activities0.07377729314118953,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-02-09T00:00:00,2011-03-09 08:35:39.272263,miss these activities,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/sentiment#NEGATIVE
http://cltl.nl/leolani/n2mu/miss_these_activities0.07377729314118953,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-02-09T00:00:00,2011-03-09 08:35:39.272263,miss these activities,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#SADNESS
http://cltl.nl/leolani/n2mu/miss_these_activities0.07377729314118953,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2011-02-09T00:00:00,2011-03-09 08:35:39.272263,miss these activities,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#DISAPPOINTMENT
http://cltl.nl/leolani/n2mu/include0.4311459712513085,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-12-29T00:00:00,2011-01-29 08:35:39.604561,include,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/include0.4311459712513085,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-12-29T00:00:00,2011-01-29 08:35:39.604561,include,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/include0.4311459712513085,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-12-29T00:00:00,2011-01-29 08:35:39.604561,include,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/include0.4311459712513085,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-12-29T00:00:00,2011-01-29 08:35:39.604561,include,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/include0.4311459712513085,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2010-12-29T00:00:00,2011-01-29 08:35:39.604561,include,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#GRATITUDE
http://cltl.nl/leolani/n2mu/muscle_cramps0.32934844797839635,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-03-16T00:00:00,2012-04-16 08:35:40.027773,muscle cramps,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/muscle_cramps0.32934844797839635,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-03-16T00:00:00,2012-04-16 08:35:40.027773,muscle cramps,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/muscle_cramps0.32934844797839635,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-03-16T00:00:00,2012-04-16 08:35:40.027773,muscle cramps,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/muscle_cramps0.32934844797839635,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-03-16T00:00:00,2012-04-16 08:35:40.027773,muscle cramps,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#NEGATIVE
http://cltl.nl/leolani/n2mu/muscle_cramps0.32934844797839635,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-03-16T00:00:00,2012-04-16 08:35:40.027773,muscle cramps,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#OPTIMISM
http://cltl.nl/leolani/n2mu/exercise0.1005272528256157,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.167212,exercise,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/exercise0.1005272528256157,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.167212,exercise,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/exercise0.1005272528256157,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.167212,exercise,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/exercise0.1005272528256157,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.167212,exercise,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/level#ALMOST_FULLY
http://cltl.nl/leolani/n2mu/exercise0.1005272528256157,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.167212,exercise,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#APPROVAL
http://cltl.nl/leolani/n2mu/exercise0.1005272528256157,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.167212,exercise,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#ADMIRATION
http://cltl.nl/leolani/n2mu/stay_hydrated0.32035751880553,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.215280,stay hydrated,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/stay_hydrated0.32035751880553,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.215280,stay hydrated,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/stay_hydrated0.32035751880553,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.215280,stay hydrated,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/stay_hydrated0.32035751880553,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.215280,stay hydrated,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/stay_hydrated0.32035751880553,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-11-24T00:00:00,2012-12-24 08:35:40.215280,stay hydrated,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#GRATITUDE
http://cltl.nl/leolani/n2mu/supper0.658125705972795,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-06-15T00:00:00,2012-07-15 08:35:40.384212,supper,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/supper0.658125705972795,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-06-15T00:00:00,2012-07-15 08:35:40.384212,supper,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/supper0.658125705972795,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-06-15T00:00:00,2012-07-15 08:35:40.384212,supper,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/supper0.658125705972795,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-06-15T00:00:00,2012-07-15 08:35:40.384212,supper,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/supper0.658125705972795,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-06-15T00:00:00,2012-07-15 08:35:40.384212,supper,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#APPROVAL
http://cltl.nl/leolani/n2mu/cycling0.7444743292845156,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-09-03T00:00:00,2012-10-03 08:35:40.470320,cycling,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#POSITIVE
http://cltl.nl/leolani/n2mu/cycling0.7444743292845156,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-09-03T00:00:00,2012-10-03 08:35:40.470320,cycling,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
http://cltl.nl/leolani/n2mu/cycling0.7444743292845156,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-09-03T00:00:00,2012-10-03 08:35:40.470320,cycling,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/level#SOMEWHAT
http://cltl.nl/leolani/n2mu/cycling0.7444743292845156,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-09-03T00:00:00,2012-10-03 08:35:40.470320,cycling,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
http://cltl.nl/leolani/n2mu/cycling0.7444743292845156,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-09-03T00:00:00,2012-10-03 08:35:40.470320,cycling,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#APPROVAL
http://cltl.nl/leolani/n2mu/cycling0.7444743292845156,http://cltl.nl/leolani/n2mu/time/vagueTime,http://cltl.nl/leolani/n2mu/time/2012-09-03T00:00:00,2012-10-03 08:35:40.470320,cycling,,http://cltl.nl/leolani/friends/Rudolf,http://groundedannotationframework.org/grasp/emotion#CARING
